,dataset,k,model,sct_method,W,cutoff,proved_exact,h_tot,regions,h_regions,del_e,time
0,ecodemo_NUTS1,5,mdd,full_order_CL,5.0,60.0,proved,3.62290927,"[[0], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 36, 37, 38, 39, 40, 41, 42, 43, 44, 51, 52, 53, 54, 55, 62, 63, 64, 65], [34, 35, 45, 46, 47, 48, 49, 50, 56, 57, 58, 59, 60, 61, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 79, 80, 84, 88], [78, 81, 82, 83, 85, 86], [87, 89, 90, 91, 92, 93]]","[0.0, 2.5633705449906214, 0.4576542498218689, 0.2596404115469871, 0.3422440726980614]","[(86, 89), (77, 78), (0, 1), (50, 51)]",6.491400241851808
1,ecodemo_NUTS1,5,mdd,full_order_CL,5.0,120.0,proved,3.62290927,"[[0], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 36, 37, 38, 39, 40, 41, 42, 43, 44, 51, 52, 53, 54, 55, 62, 63, 64, 65], [34, 35, 45, 46, 47, 48, 49, 50, 56, 57, 58, 59, 60, 61, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 79, 80, 84, 88], [78, 81, 82, 83, 85, 86], [87, 89, 90, 91, 92, 93]]","[0.0, 2.5633705449906214, 0.4576542498218689, 0.2596404115469871, 0.3422440726980614]","[(86, 89), (77, 78), (0, 1), (50, 51)]",6.430424451828003
2,ecodemo_NUTS1,5,mdd,full_order_CL,10.0,60.0,proved,3.62290927,"[[0], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 36, 37, 38, 39, 40, 41, 42, 43, 44, 51, 52, 53, 54, 55, 62, 63, 64, 65], [34, 35, 45, 46, 47, 48, 49, 50, 56, 57, 58, 59, 60, 61, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 79, 80, 84, 88], [78, 81, 82, 83, 85, 86], [87, 89, 90, 91, 92, 93]]","[0.0, 2.5633705449906214, 0.4576542498218689, 0.2596404115469871, 0.3422440726980614]","[(86, 89), (77, 78), (0, 1), (50, 51)]",5.737484455108643
3,ecodemo_NUTS1,5,mdd,full_order_CL,10.0,120.0,proved,3.62290927,"[[0], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 36, 37, 38, 39, 40, 41, 42, 43, 44, 51, 52, 53, 54, 55, 62, 63, 64, 65], [34, 35, 45, 46, 47, 48, 49, 50, 56, 57, 58, 59, 60, 61, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 79, 80, 84, 88], [78, 81, 82, 83, 85, 86], [87, 89, 90, 91, 92, 93]]","[0.0, 2.5633705449906214, 0.4576542498218689, 0.2596404115469871, 0.3422440726980614]","[(86, 89), (77, 78), (0, 1), (50, 51)]",5.663897275924683
4,ecodemo_NUTS1,5,mdd,full_order_CL,20.0,60.0,proved,3.62290927,"[[0], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 36, 37, 38, 39, 40, 41, 42, 43, 44, 51, 52, 53, 54, 55, 62, 63, 64, 65], [34, 35, 45, 46, 47, 48, 49, 50, 56, 57, 58, 59, 60, 61, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 79, 80, 84, 88], [78, 81, 82, 83, 85, 86], [87, 89, 90, 91, 92, 93]]","[0.0, 2.5633705449906214, 0.4576542498218689, 0.2596404115469871, 0.3422440726980614]","[(86, 89), (77, 78), (0, 1), (50, 51)]",5.605198383331299
5,ecodemo_NUTS1,5,mdd,full_order_CL,20.0,120.0,proved,3.62290927,"[[0], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 36, 37, 38, 39, 40, 41, 42, 43, 44, 51, 52, 53, 54, 55, 62, 63, 64, 65], [34, 35, 45, 46, 47, 48, 49, 50, 56, 57, 58, 59, 60, 61, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 79, 80, 84, 88], [78, 81, 82, 83, 85, 86], [87, 89, 90, 91, 92, 93]]","[0.0, 2.5633705449906214, 0.4576542498218689, 0.2596404115469871, 0.3422440726980614]","[(86, 89), (77, 78), (0, 1), (50, 51)]",5.675014972686768
6,ecodemo_NUTS1,10,mdd,full_order_CL,5.0,60.0,current-best,2.0148929,"[[0], [1, 3, 4, 36, 6, 7, 38, 39, 10, 11, 14, 15, 16, 17, 23, 24, 27, 29, 30], [2, 5, 9, 13, 18, 19, 20, 21, 31, 32, 40, 41, 42, 43, 44, 50, 51, 52, 53, 54, 55, 57, 62, 63, 64, 65], [8], [12], [33, 22, 25, 26, 28], [34, 35, 45, 46, 47, 48, 49, 56, 58, 59, 60, 61, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 79, 80, 84, 88], [37], [78, 81, 82, 83, 85, 86], [87, 89, 90, 91, 92, 93]]","[0.0, 0.41318141811833103, 0.580342117225942, 0.0, 0.0, 0.03188183885082335, 0.3876030692814538, 0.0, 0.2596404115469871, 0.3422440726980614]","[(86, 89), (77, 78), (0, 1), (7, 8), (5, 12), (39, 40), (50, 61), (28, 37), (25, 27)]",68.5221586227417
7,ecodemo_NUTS1,10,mdd,full_order_CL,5.0,120.0,current-best,2.0148929,"[[0], [1, 3, 4, 36, 6, 7, 38, 39, 10, 11, 14, 15, 16, 17, 23, 24, 27, 29, 30], [2, 5, 9, 13, 18, 19, 20, 21, 31, 32, 40, 41, 42, 43, 44, 50, 51, 52, 53, 54, 55, 57, 62, 63, 64, 65], [8], [12], [33, 22, 25, 26, 28], [34, 35, 45, 46, 47, 48, 49, 56, 58, 59, 60, 61, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 79, 80, 84, 88], [37], [78, 81, 82, 83, 85, 86], [87, 89, 90, 91, 92, 93]]","[0.0, 0.41318141811833103, 0.580342117225942, 0.0, 0.0, 0.03188183885082335, 0.3876030692814538, 0.0, 0.2596404115469871, 0.3422440726980614]","[(86, 89), (77, 78), (0, 1), (7, 8), (5, 12), (39, 40), (50, 61), (28, 37), (25, 27)]",144.36884903907776
8,ecodemo_NUTS1,10,mdd,full_order_CL,10.0,60.0,current-best,2.0148929,"[[0], [1, 3, 4, 36, 6, 7, 38, 39, 10, 11, 14, 15, 16, 17, 23, 24, 27, 29, 30], [2, 5, 9, 13, 18, 19, 20, 21, 31, 32, 40, 41, 42, 43, 44, 50, 51, 52, 53, 54, 55, 57, 62, 63, 64, 65], [8], [12], [33, 22, 25, 26, 28], [34, 35, 45, 46, 47, 48, 49, 56, 58, 59, 60, 61, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 79, 80, 84, 88], [37], [78, 81, 82, 83, 85, 86], [87, 89, 90, 91, 92, 93]]","[0.0, 0.41318141811833103, 0.580342117225942, 0.0, 0.0, 0.03188183885082335, 0.3876030692814538, 0.0, 0.2596404115469871, 0.3422440726980614]","[(86, 89), (77, 78), (0, 1), (25, 27), (5, 12), (50, 61), (7, 8), (39, 40), (28, 37)]",68.35829257965088
9,ecodemo_NUTS1,10,mdd,full_order_CL,10.0,120.0,current-best,2.0148929,"[[0], [1, 3, 4, 36, 6, 7, 38, 39, 10, 11, 14, 15, 16, 17, 23, 24, 27, 29, 30], [2, 5, 9, 13, 18, 19, 20, 21, 31, 32, 40, 41, 42, 43, 44, 50, 51, 52, 53, 54, 55, 57, 62, 63, 64, 65], [8], [12], [33, 22, 25, 26, 28], [34, 35, 45, 46, 47, 48, 49, 56, 58, 59, 60, 61, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 79, 80, 84, 88], [37], [78, 81, 82, 83, 85, 86], [87, 89, 90, 91, 92, 93]]","[0.0, 0.41318141811833103, 0.580342117225942, 0.0, 0.0, 0.03188183885082335, 0.3876030692814538, 0.0, 0.2596404115469871, 0.3422440726980614]","[(86, 89), (77, 78), (0, 1), (25, 27), (5, 12), (50, 61), (7, 8), (39, 40), (28, 37)]",140.1233732700348
