NUTS_ID,LEVL_CODE,CNTR_CODE,NAME_LATN,NUTS_NAME,MOUNT_TYPE,URBN_TYPE,COAST_TYPE,FID,geometry,geo,TIME_PERIOD,density,gdp_inhabitant,median_age,rate_migration,neighbors
BE1,1,BE,R̩gion de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,R̩gion de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,0.0,,0,BE1,"POLYGON ((3918539.9 3093738.3158, 3919617.4396 3102383.101199999, 3929927.3838 3102384.6772, 3932557.7107 3090371.024, 3925197.512 3087208.6804, 3918539.9 3093738.3158))",BE1,2019,1.0000000000000002,0.6993801652892562,0.46263345195729544,0.48186528497409326,['BE2']
BE2,1,BE,Vlaams Gewest,Vlaams Gewest,0.0,,0,BE2,"MULTIPOLYGON (((4031283.6809 3079646.3924, 4025883.6818 3075418.951099999, 4016501.8027 3080744.5735, 4023087.5435 3082262.0818, 4031283.6809 3079646.3924)), ((3957506.818499999 3167694.476199999, 3964175.1263 3159537.949899999, 3976686.7293 3162365.153999999, 3980658.9135 3157888.223999999, 3980657.8693 3148906.172499999, 3988851.4396 3138673.9134, 4007308.7459 3140154.501399999, 4011459.8396 3132703.4903, 4026691.607 3125211.9022, 4026610.5578 3113861.8873, 4024033.4265 3108310.8542, 4016424.718699999 3093692.2059, 4017252.183499999 3086772.5351, 3998616.4363 3077635.5416, 3984946.933499999 3079341.1855, 3975414.3343 3077940.645199999, 3969815.4625 3082969.7423, 3950947.833799999 3089445.157, 3940202.0857 3086499.6658, 3915210.3296 3080759.5932, 3908080.005899999 3084449.913699999, 3904759.061899999 3082815.941, 3893996.043299999 3082090.7793, 3890599.4667 3086994.191299999, 3885115.6599 3089441.899599999, 3882297.8422 3089365.1124, 3865687.014699999 3089223.400599999, 3860314.060799999 3093300.2357, 3850312.1163 3089334.6119, 3847393.8836 3093501.1753, 3840321.6636 3094043.890699999, 3835046.9454 3097095.6535, 3829391.7752 3097020.708799999, 3825444.3281 3100125.047599999, 3817696.6369 3095005.2815, 3817784.9421 3090853.985, 3803955.8709 3105280.812999999, 3802065.4765 3115282.9074, 3800998.5786 3125219.906099999, 3799789.3935 3135288.8575, 3814726.499399999 3141880.0538, 3841458.8935 3156115.893999999, 3859737.4079 3160854.8642, 3859809.09 3150168.8783, 3871681.222899999 3150919.937799999, 3885421.4277 3147037.0766, 3892268.487299999 3140257.5569, 3900841.3057 3141114.047, 3919814.3946 3153328.456499999, 3920366.3328 3153922.6905, 3920660.2127 3156217.704, 3923161.9312 3156164.4332, 3930822.8018 3154475.330499999, 3932754.5588 3163330.3485, 3938554.2919 3165471.1786, 3950633.7397 3159702.9375, 3957506.818499999 3167694.476199999), (3918539.9 3093738.3158, 3925197.512 3087208.6804, 3932557.7107 3090371.024, 3929927.3838 3102384.6772, 3919617.4396 3102383.101199999, 3918539.9 3093738.3158)))",BE2,2019,0.06471558120362737,0.3925619834710744,0.7259786476868328,0.6398963730569948,"['BE1', 'BE3', 'NL3', 'NL4', 'FRE']"
BE3,1,BE,R̩gion wallonne,R̩gion wallonne,0.0,,0,BE3,"MULTIPOLYGON (((4016501.8027 3080744.5735, 4025883.6818 3075418.951099999, 4031283.6809 3079646.3924, 4040360.1849 3079039.389, 4052889.3361 3064921.8695, 4051137.8977 3057496.277, 4051084.0688 3052481.4673, 4059686.3597 3049366.0594, 4065087.3355 3029745.6953, 4062196.5715 3028851.8478, 4048907.9887 3019413.7363, 4044953.8672 3009232.5731, 4037218.2766 3015531.6271, 4027779.2326 3007168.1015, 4015259.696 2980087.221899999, 4024685.2918 2958524.764699999, 4018497.2259 2945664.4036, 4012456.5083 2945942.926899999, 3993083.8807 2941704.5809, 3988312.6209 2955361.1799, 3971752.434 2967666.193299999, 3959123.5233 2977871.641799999, 3952076.8313 2979219.8595, 3948981.266799999 2997537.034399999, 3953226.993899999 3014546.5687, 3949420.654999999 3017233.023399999, 3938651.0985 3000784.079299999, 3921742.4297 2996168.7018, 3907618.914799999 2999071.3099, 3901203.5386 3001917.1602, 3906801.6226 3012746.9146, 3906668.8485 3030336.4782, 3898139.7985 3042375.0495, 3896518.9996 3044671.3225, 3874198.5287 3043050.431299999, 3871760.4505 3051082.309699999, 3871119.5032 3058361.0966, 3868536.232 3061788.467599999, 3863949.862199999 3062907.0984, 3847376.6117 3067260.284299999, 3844678.012599999 3088813.8804, 3840321.6636 3094043.890699999, 3847393.8836 3093501.1753, 3850312.1163 3089334.6119, 3860314.060799999 3093300.2357, 3865687.014699999 3089223.400599999, 3882297.8422 3089365.1124, 3885115.6599 3089441.899599999, 3890599.4667 3086994.191299999, 3893996.043299999 3082090.7793, 3904759.061899999 3082815.941, 3908080.005899999 3084449.913699999, 3915210.3296 3080759.5932, 3940202.0857 3086499.6658, 3950947.833799999 3089445.157, 3969815.4625 3082969.7423, 3975414.3343 3077940.645199999, 3984946.933499999 3079341.1855, 3998616.4363 3077635.5416, 4017252.183499999 3086772.5351, 4016501.8027 3080744.5735)), ((3829391.7752 3097020.708799999, 3817784.9421 3090853.985, 3817696.6369 3095005.2815, 3825444.3281 3100125.047599999, 3829391.7752 3097020.708799999)))",BE3,2019,0.027989788048825893,0.27272727272727276,0.6654804270462635,0.5984455958549222,"['BE2', 'DEA', 'DEB', 'LU0', 'NL4', 'FRE', 'FRF']"
NL3,1,NL,West-Nederland,West-Nederland,0.0,,0,NL3,"MULTIPOLYGON (((3996616.1115 3332178.267999999, 4009190.223999999 3305020.3269, 4006827.3231 3297146.0932, 3986443.3279 3285784.1576, 3992287.9647 3268930.5676, 3986271.8277 3264565.6158, 4002973.5083 3252483.4716, 4007396.4034 3247674.836999999, 4019059.823999999 3212788.3248, 4009883.3888 3217095.4384, 3987665.3072 3213689.8335, 3976590.988399999 3201887.2882, 3953519.616699999 3192809.0428, 3949582.3794 3191894.055, 3922965.487199999 3186450.334899999, 3920288.297599999 3180883.162, 3923161.9312 3156164.4332, 3920660.2127 3156217.704, 3888604.331599999 3163882.0065, 3875479.875399999 3173895.8562, 3880379.3242 3181212.3814, 3895883.477399999 3181745.088199999, 3896190.6349 3201061.1819, 3911214.7382 3210471.020099999, 3909127.9209 3223905.709899999, 3918217.2456 3226298.0676, 3920873.2359 3229321.5358, 3923497.8717 3231860.2903, 3936686.5755 3245668.6426, 3946030.5296 3260714.03, 3951477.2359 3272490.5833, 3955930.2215 3287337.5961, 3960097.4846 3307432.242, 3967931.8709 3340289.689099999, 3974842.451099999 3351173.7058, 3979535.511 3345902.1981, 3971705.8663 3333286.7761, 3973847.8726 3323596.8768, 3996616.1115 3332178.267999999)), ((3919814.3946 3153328.456499999, 3900841.3057 3141114.047, 3892268.487299999 3140257.5569, 3885421.4277 3147037.0766, 3871681.222899999 3150919.937799999, 3859809.09 3150168.8783, 3859737.4079 3160854.8642, 3872764.1952 3163190.4277, 3889933.9933 3155172.0149, 3902411.715 3159199.0504, 3919814.3946 3153328.456499999)))",NL3,2019,0.12380661117464034,0.506198347107438,0.6512455516014237,0.6528497409326425,"['BE2', 'NL1', 'NL2', 'NL4']"
NL4,1,NL,Zuid-Nederland,Zuid-Nederland,0.0,,0,NL4,"POLYGON ((4041680.6645 3189693.834, 4057039.0917 3163340.8936, 4058181.026799999 3146140.6394, 4046900.025699999 3133097.6772, 4053685.3248 3126266.0513, 4031952.4076 3110464.2374, 4045944.8244 3096437.1327, 4040360.1849 3079039.389, 4031283.6809 3079646.3924, 4023087.5435 3082262.0818, 4016501.8027 3080744.5735, 4017252.183499999 3086772.5351, 4016424.718699999 3093692.2059, 4024033.4265 3108310.8542, 4026610.5578 3113861.8873, 4026691.607 3125211.9022, 4011459.8396 3132703.4903, 4007308.7459 3140154.501399999, 3988851.4396 3138673.9134, 3980657.8693 3148906.172499999, 3980658.9135 3157888.223999999, 3976686.7293 3162365.153999999, 3964175.1263 3159537.949899999, 3957506.818499999 3167694.476199999, 3950633.7397 3159702.9375, 3938554.2919 3165471.1786, 3932754.5588 3163330.3485, 3930822.8018 3154475.330499999, 3923161.9312 3156164.4332, 3920288.297599999 3180883.162, 3922965.487199999 3186450.334899999, 3949582.3794 3191894.055, 3953519.616699999 3192809.0428, 3976590.988399999 3201887.2882, 3984741.6887 3192038.7158, 4017727.8945 3200027.8693, 4035672.119 3191097.0657, 4041680.6645 3189693.834))",NL4,2019,0.06776055101986544,0.42871900826446285,0.7971530249110321,0.6347150259067358,"['BE2', 'BE3', 'DEA', 'NL2', 'NL3']"
FRE,1,FR,Hauts-de-France,Hauts-de-France,0.0,,0,FRE,"POLYGON ((3817784.9421 3090853.985, 3829391.7752 3097020.708799999, 3835046.9454 3097095.6535, 3840321.6636 3094043.890699999, 3844678.012599999 3088813.8804, 3847376.6117 3067260.284299999, 3863949.862199999 3062907.0984, 3868536.232 3061788.467599999, 3871119.5032 3058361.0966, 3871760.4505 3051082.309699999, 3874198.5287 3043050.431299999, 3896518.9996 3044671.3225, 3898139.7985 3042375.0495, 3906668.8485 3030336.4782, 3906801.6226 3012746.9146, 3901203.5386 3001917.1602, 3907618.914799999 2999071.3099, 3905020.3401 2975780.9218, 3891444.671 2961999.15, 3889480.1983 2938890.973999999, 3863139.839299999 2930614.2404, 3856994.0232 2898364.6745, 3843451.2083 2880981.1141, 3815976.8006 2913173.374, 3780604.9981 2912395.8619, 3760061.607899999 2922789.8106, 3747561.8317 2929172.238299999, 3723566.507099999 2929488.967599999, 3718146.351399999 2936165.920299999, 3723513.8944 2943967.5757, 3721015.0919 2955669.4295, 3725891.3812 2964638.9438, 3723576.5331 2980235.5461, 3730320.4142 2993720.781099999, 3725519.2678 3009290.8779, 3705361.3971 3030981.6422, 3722738.5106 3045275.918299999, 3721078.944499999 3058589.2269, 3727768.7655 3060350.0757, 3723997.7042 3072469.2056, 3731334.6885 3114899.510199999, 3767290.5777 3128769.785399999, 3781813.076099999 3131655.112299999, 3799789.3935 3135288.8575, 3800998.5786 3125219.906099999, 3802065.4765 3115282.9074, 3803955.8709 3105280.812999999, 3817784.9421 3090853.985))",FRE,2019,0.02424008722708295,0.2541322314049587,0.6085409252669038,0.39378238341968913,"['BE2', 'BE3', 'FR1', 'FRD', 'FRF']"
DEA,1,DE,Nordrhein-Westfalen,Nordrhein-Westfalen,0.0,,0,DEA,"POLYGON ((4232925.6339 3266469.2572, 4235254.936799999 3255330.726199999, 4247849.3658 3255959.9703, 4257943.9356 3264676.236, 4261477.9547 3256200.4047, 4252584.0786 3244452.7716, 4251653.709899999 3232135.499299999, 4263781.3179 3220252.6963, 4273455.3356 3201626.5788, 4274379.5054 3194089.477299999, 4281544.443499999 3190384.2437, 4280669.3405 3170914.7212, 4282273.5788 3171249.8142, 4262970.9869 3149452.520099999, 4249534.9833 3155625.9556, 4243554.0878 3143003.562, 4228346.425899999 3134378.5637, 4231952.3311 3123143.0949, 4230063.398499999 3115956.270199999, 4219378.6282 3111083.3654, 4214087.1405 3096411.5272, 4205225.5647 3084691.8396, 4192320.6766 3079995.2089, 4188558.5787 3065486.9448, 4182511.1171 3066931.9251, 4169961.169199999 3092709.6643, 4165398.3935 3094413.0482, 4156201.9918 3081392.8111, 4140271.5187 3069801.261499999, 4123782.9295 3060603.5248, 4103368.4568 3054207.5144, 4100406.7324 3046195.9944, 4092020.963 3043680.8542, 4091472.7924 3036731.6215, 4093417.5445 3032716.1574, 4079362.743899999 3035454.100299999, 4066527.1193 3029642.1941, 4065087.3355 3029745.6953, 4059686.3597 3049366.0594, 4051084.0688 3052481.4673, 4051137.8977 3057496.277, 4052889.3361 3064921.8695, 4040360.1849 3079039.389, 4045944.8244 3096437.1327, 4031952.4076 3110464.2374, 4053685.3248 3126266.0513, 4046900.025699999 3133097.6772, 4058181.026799999 3146140.6394, 4057039.0917 3163340.8936, 4041680.6645 3189693.834, 4045797.8248 3198797.2816, 4057369.1633 3205892.8657, 4073465.7522 3196970.0598, 4099530.4451 3207827.2938, 4096822.663799999 3220661.942, 4099187.3515 3228125.1333, 4120624.0736 3240894.579399999, 4122915.3214 3240990.4513, 4137969.0372 3244557.3449, 4153522.1008 3253805.7238, 4158496.5954 3265415.138699999, 4182248.122199999 3248086.4578, 4181527.8663 3242276.8998, 4179158.088 3235316.3153, 4183413.986199999 3226130.0521, 4176049.9254 3221372.3961, 4190451.358999999 3218063.4341, 4212132.138699999 3223996.0774, 4216298.169 3240879.888699999, 4205259.5676 3262148.973999999, 4232925.6339 3266469.2572))",DEA,2019,0.06967529186501077,0.37396694214876036,0.8113879003558719,0.5518134715025906,"['BE3', 'DE7', 'DE9', 'DEB', 'NL2', 'NL4']"
DEB,1,DE,Rheinland-Pfalz,Rheinland-Pfalz,0.0,,0,DEB,"POLYGON ((4175539.4232 3033704.8038, 4180419.7879 3033570.8198, 4187131.1447 3020058.2782, 4161636.7204 2997328.3943, 4170990.1587 2987268.4854, 4190259.1007 2992945.9571, 4191329.3833 2993035.2079, 4198260.7392 2988400.6974, 4202052.8475 2982236.3563, 4205818.4207 2966931.286, 4209133.5018 2959072.0176, 4208983.5997 2958756.8303, 4204087.5974 2953984.6531, 4206384.4663 2943712.678099999, 4206911.1763 2942403.6646, 4206908.4438 2941381.1796, 4206858.9798 2937781.5631, 4210213.2182 2926776.3453, 4211940.493899999 2923163.1142, 4210530.456 2918187.581499999, 4210938.595899999 2909690.4781, 4209447.0976 2908937.1611, 4205446.5603 2905334.1198, 4199706.8018 2886591.1183, 4194902.0555 2876668.8454, 4193703.1273 2875693.6634, 4191568.4299 2874149.0748, 4179638.1773 2878090.5392, 4168238.4449 2883501.2454, 4148169.9397 2885085.8198, 4137313.7149 2896832.4646, 4129088.6479 2897694.3624, 4125670.7385 2900937.8211, 4125080.225299999 2906552.5611, 4131564.0308 2914841.114399999, 4132313.2879 2920530.2566, 4131881.6201 2921027.0637, 4124529.294399999 2925318.3159, 4121722.177999999 2928009.0362, 4123939.3676 2940964.590399999, 4106360.834899999 2951753.624199999, 4096387.0096 2949270.6457, 4075608.0943 2940719.1318, 4057987.0655 2942804.6644, 4067417.1098 2962504.6588, 4067410.837099999 2973721.5833, 4059668.9706 2977268.9524, 4046925.343599999 2990433.567399999, 4044953.8672 3009232.5731, 4048907.9887 3019413.7363, 4062196.5715 3028851.8478, 4065087.3355 3029745.6953, 4066527.1193 3029642.1941, 4079362.743899999 3035454.100299999, 4093417.5445 3032716.1574, 4091472.7924 3036731.6215, 4092020.963 3043680.8542, 4100406.7324 3046195.9944, 4103368.4568 3054207.5144, 4123782.9295 3060603.5248, 4140271.5187 3069801.261499999, 4156201.9918 3081392.8111, 4165398.3935 3094413.0482, 4169961.169199999 3092709.6643, 4182511.1171 3066931.9251, 4188558.5787 3065486.9448, 4190141.5609 3055827.5045, 4180066.010199999 3048062.968, 4175539.4232 3033704.8038))",DEB,2019,0.02676648139776082,0.3305785123966942,0.8505338078291818,0.6036269430051813,"['BE3', 'DE1', 'DE7', 'DEA', 'DEC', 'LU0', 'FRF']"
LU0,1,LU,Luxembourg,Luxembourg,0.0,,0,LU0,"POLYGON ((4044953.8672 3009232.5731, 4046925.343599999 2990433.567399999, 4059668.9706 2977268.9524, 4067410.837099999 2973721.5833, 4067417.1098 2962504.6588, 4057987.0655 2942804.6644, 4057554.6148 2933924.9443, 4023633.562899999 2939874.943299999, 4018497.2259 2945664.4036, 4024685.2918 2958524.764699999, 4015259.696 2980087.221899999, 4027779.2326 3007168.1015, 4037218.2766 3015531.6271, 4044953.8672 3009232.5731))",LU0,2019,0.031074648299337825,1.0,0.594306049822064,0.9093264248704663,"['BE3', 'DEB', 'DEC', 'FRF']"
FRF,1,FR,Grand Est,Grand Est,0.0,,0,FRF,"POLYGON ((3959123.5233 2977871.641799999, 3971752.434 2967666.193299999, 3988312.6209 2955361.1799, 3993083.8807 2941704.5809, 4012456.5083 2945942.926899999, 4018497.2259 2945664.4036, 4023633.562899999 2939874.943299999, 4057554.6148 2933924.9443, 4071243.3954 2928770.9639, 4082335.1054 2905956.7978, 4086500.5523 2899317.783299999, 4097015.8405 2904764.181, 4109552.3712 2897821.1248, 4119997.8747 2893175.660399999, 4129088.6479 2897694.3624, 4137313.7149 2896832.4646, 4148169.9397 2885085.8198, 4168238.4449 2883501.2454, 4179638.1773 2878090.5392, 4191568.4299 2874149.0748, 4170832.9875 2847105.0318, 4160390.073 2835147.076099999, 4148737.497099999 2796455.1335, 4140622.8365 2781605.566099999, 4140555.6732 2780969.7829, 4141914.8445 2764471.1477, 4136889.5688 2739716.5875, 4134652.9635 2731311.9546, 4139577.4244 2722539.904999999, 4136938.8966 2719812.1586, 4133383.9403 2713039.7738, 4123319.4144 2705527.935699999, 4111415.385199999 2705785.8334, 4104716.988399999 2714128.783299999, 4098742.361 2732632.4885, 4084784.399499999 2750519.7674, 4083043.8422 2749494.0096, 4067575.5055 2762823.7126, 4058206.9876 2760506.0533, 4049525.4528 2767671.8681, 4039013.9256 2765832.317299999, 4029373.618899999 2774224.3879, 4013468.9168 2765502.3137, 3999998.5866 2754245.2802, 3996050.398499999 2740617.1937, 3975934.2403 2738908.338199999, 3973191.7738 2732088.986, 3946164.816099999 2745311.7178, 3940426.9022 2766275.933499999, 3926135.4484 2781563.8443, 3894782.3314 2773361.3292, 3865661.5064 2777758.6751, 3843084.630999999 2821638.090399999, 3833828.3211 2830288.8698, 3835816.9967 2842038.120999999, 3846396.7846 2854857.6404, 3838424.2692 2868850.346899999, 3843451.2083 2880981.1141, 3856994.0232 2898364.6745, 3863139.839299999 2930614.2404, 3889480.1983 2938890.973999999, 3891444.671 2961999.15, 3905020.3401 2975780.9218, 3907618.914799999 2999071.3099, 3921742.4297 2996168.7018, 3938651.0985 3000784.079299999, 3949420.654999999 3017233.023399999, 3953226.993899999 3014546.5687, 3948981.266799999 2997537.034399999, 3952076.8313 2979219.8595, 3959123.5233 2977871.641799999))",FRF,2019,0.012033614339281441,0.259297520661157,0.7117437722419928,0.4378238341968912,"['BE3', 'DE1', 'DEB', 'DEC', 'LU0', 'FR1', 'FRC', 'FRE']"
