NUTS_ID,BE1,BE2,BE3,NL3,NL4,FRE,DEA,DEB,LU0,FRF,NL1,NL2,FR1,FRD,DE7,DE9,DE1,DEC,FRC,FRB,FRG,FRH,DEG,DE2,DE6,DE8,DEE,DEF,DE4,DE5,AT3,FRK,FRI,DED,CZ0,PL4,DK0,DE3,AT1,AT2,ITH,FRJ,FRL,ITC,ES2,PL5,PL2,SK0,PL6,PL7,HU2,SI0,ITI,ES5,ES1,ES4,PL8,HU1,HU3,PL9,LT0,HR0,ITF,ES6,PT1,ES3,RO1,RO4,RS1,LV0,ME0,RO2,RO3,BG3,RS2,EE0,AL0,BG4,TR2,MK0,EL5,TR1,TR3,TR4,EL6,TR5,TR6,TR8,EL3,TR7,TRB,TRC,TR9,TRA
EE0,1.3310189980785145,0.05623553639191992,0.011071437915675322,0.13099117260938373,0.08386510479805347,0.04981598740760844,0.06122676703813261,0.05233698044515109,0.797217752372593,0.02985576346307779,0.03281889059731466,0.04052540776864432,0.2758057726449399,0.03292898051568494,0.08534501741188069,0.05795544778713444,0.08386913206938056,0.09010560732898046,0.034656960421211816,0.03095998733801459,0.012691601952413641,0.01587657531659366,0.09495150413395353,0.09333680628481308,0.3526964653967296,0.09071470128761451,0.1123422723871537,0.057599906189523646,0.11016388628187092,0.16462368006787242,0.07797765923610439,0.025212734360338586,0.02595145488760342,0.07059523090680443,0.0005259623043673653,0.017856554100438893,0.1131151559923688,0.3791659370154157,0.06123737838093923,0.05491069813645561,0.05965513942751887,0.016259116939867754,0.029438090548485375,0.0669923192380326,0.04658429086490036,0.011613845380409875,0.01565028607584195,0.01218655243059006,0.02240727198798652,0.028493556042985306,0.011265284901014134,0.014419333156628805,0.057536670485944144,0.054459219662332345,0.04873821739505661,0.02047944291596258,0.038867067490492554,0.012702161853824643,0.03531942150466217,0.0035558214007616407,0.005835931731968275,0.024961823187365485,0.04996506633554334,0.0037727528899209137,0.01396773859355095,0.10912382003762225,0.02251525433392118,0.0364900008815742,0.018654346236233174,0.02840765062745948,0.05260266550293398,0.04857465004934461,0.01921810619637505,0.06575287094576338,0.06599320740058334,0.0,0.16457123865558887,0.015370646269847873,0.0456798387491561,0.05132002478533263,0.02363316561454034,0.4446406425205712,0.06119528613516141,0.14284049344416067,0.0296917593566638,0.1655825529211342,0.15471800448565867,0.15627639981679847,0.02651901223141022,0.19005147547563295,0.6114565358587645,0.5704638230138267,0.287993439060443,0.6876608808577687
AL0,1.5006453071522987,0.34197285265688715,0.20816234746007795,0.4329161026138081,0.4056543320022795,0.08953294105248544,0.31783504646916816,0.34309308616930934,1.4053358160450125,0.13901843296515892,0.2870067213709667,0.31172241653804844,0.3660769809995791,0.14295270143844596,0.38715366336671714,0.3408794272674919,0.3512393209955258,0.3640534030951909,0.17909798237672153,0.17054056540504797,0.20761259045012648,0.2508060971654552,0.3534271456468881,0.39067658606647704,0.611228896377724,0.4043238212412509,0.37553006710016956,0.3714429271387964,0.4982705402088856,0.34789541657231327,0.33949457998151295,0.1904504238924596,0.2873106003704641,0.35594916188123504,0.17236204727913396,0.07600451738531094,0.3420019490597816,0.6206406794097545,0.3390015013062734,0.32996048432548364,0.33735849436270887,0.2694908026617674,0.2255985346187762,0.35133681909864434,0.38067640712668205,0.09907170538965843,0.08652016646734528,0.08764956411101298,0.06998538061696316,0.08066229399056359,0.19337447226080712,0.2732964954640995,0.28627813316753553,0.3966493234576117,0.3346612334767028,0.2462212398708227,0.049319177916733445,0.24235914528668195,0.08162752187657381,0.14462356511179963,0.1814014252595399,0.11370729306821152,0.1259220564275315,0.20205326893318543,0.22839182272662611,0.5035095845093945,0.07829747708630748,0.09644975867242123,0.12146284599289103,0.09866985108922462,0.03596395842045408,0.05905002922320456,0.09403124126201899,0.12016020620030163,0.10289650238497138,0.16457123865558887,0.0,0.12728459769134942,0.13768788855526648,0.048581986495000104,0.195484828096523,0.7077657286377941,0.1218855543703886,0.28444537552580146,0.18393916252150783,0.30026725984255864,0.1714332881174879,0.00013377016753493828,0.19442820341751227,0.031244171550610402,0.18251342362019823,0.24770959321511113,0.026812821574947385,0.20966220760146603
BG4,1.4441311342002452,0.11659972682422096,0.04908312208316526,0.22129662733129923,0.14408088525371993,0.06510847814905116,0.09947256078717207,0.08521586699663088,1.0215698470488246,0.042031320776618336,0.07013595570940195,0.0962476256585637,0.35998636808669204,0.04189775586555877,0.145340502212846,0.09489864963490804,0.142012975097605,0.10592572977771862,0.03937745076724441,0.040106496928439664,0.04856405888493107,0.04443719066911626,0.09319354885458396,0.1563023130312648,0.45269109771366006,0.09802077516494623,0.10625665780360846,0.08826430982602697,0.13200988432469868,0.2109273792267965,0.14454383798999781,0.06402003777104844,0.050931874786367,0.08430712032584244,0.014456586945102252,0.012258104311358202,0.18623907903668768,0.43752607678839384,0.12665974817486314,0.09699699308906287,0.08543240726152514,0.04822414603648256,0.05387534562598663,0.09437801007879719,0.08704571299951125,0.004098120821525571,0.008207801812500106,0.01434621919872207,0.013500281724251884,0.0073279276630854265,0.009575358191796309,0.03948517825590886,0.07019868347236058,0.10520199685630366,0.055670135066099254,0.025835229946517428,0.018459166287732247,0.04310941001463321,0.008142011975001234,0.02533971382034255,0.0074126153182021304,0.00488811823270922,0.030003078985303706,0.023879529955543544,0.019248845411340736,0.18341946784871374,0.0063184838711645396,0.007626676066233754,0.0014148731187988719,0.011018015557051446,0.035364989280835694,0.016577036618942626,0.008773936994289477,0.020217632523386937,0.01921459137117619,0.015370646269847873,0.12728459769134942,0.0,0.057331520512427674,0.03306288042572958,0.008296979168551525,0.5208226693520652,0.07324947431893267,0.18697169472680764,0.009949555000665697,0.21390774257866296,0.18179580943740567,0.12086895252543434,0.031132285573183923,0.18024249582630417,0.5874276437973874,0.5839736330717932,0.23172811607448526,0.6520276434411344
TR2,1.4333760452850306,0.16387002723195604,0.07326666317563019,0.24084722434325,0.22448418478877333,0.10990586998374374,0.2011554997376242,0.18930154999803683,0.9886739273557623,0.12065823120304767,0.14704029999707538,0.13505741253242595,0.39414213749261806,0.1295482164430346,0.23174448781556212,0.20073448920994613,0.2274294479145097,0.26105167555342795,0.1474596444388071,0.1376881218399662,0.08763154781177566,0.11034997572172872,0.26453014161402316,0.24368549119879088,0.5097312176571895,0.25087196347649776,0.2910423959109394,0.1948098329119054,0.26201326115062923,0.3160776255656049,0.2031182892391552,0.10550606196310756,0.13470399160091054,0.2241907200875647,0.05235125652543885,0.03500971255843629,0.24555346588671811,0.46277600675944225,0.1713141209874599,0.192237244042388,0.20724430744349118,0.10484245529640335,0.14315741701590676,0.21989080532129293,0.1502407771627975,0.0452419777234348,0.04031464771540891,0.039648102966266766,0.0327642629609324,0.0709535619309056,0.05099007936377448,0.078202279818468,0.20418906158663114,0.11126311468749073,0.16698379088142024,0.11618052840477346,0.05313301707196699,0.051739596502738655,0.0783439352951422,0.03706804840824782,0.06523720243937896,0.08641394177175005,0.1469104952000392,0.04025169027064881,0.09713735550759771,0.17313959624783945,0.04678224127017927,0.08938691893450648,0.04533654963409795,0.0933751311620788,0.0409713379255957,0.07997749054699843,0.07289834205140416,0.13012783049912663,0.11603324662205694,0.0456798387491561,0.13768788855526648,0.057331520512427674,0.0,0.02903248663593208,0.09287662489313335,0.31078938645514986,0.002301813926900158,0.04094527830925398,0.11028064768933023,0.05276292815331568,0.038825486338271646,0.13139565248273047,0.10937395447060393,0.10782177911918739,0.4743513306154068,0.37411351600922205,0.28339759295947703,0.5668654329811409
MK0,1.4615016234674472,0.19786138391700445,0.09160720347738505,0.2934434350616344,0.252616894556087,0.06653768108085176,0.19772005405225052,0.19600873767275803,1.1615534177009186,0.08222731583451334,0.15596683926263627,0.16900824707235407,0.3692840684498912,0.08676979838001776,0.24990126727020232,0.20361437732044385,0.23484910833822906,0.23598862457955602,0.10532977625440026,0.09931037867531821,0.09732243543695698,0.11933084093123467,0.22660799343487023,0.2595651372191207,0.5283056391798286,0.24050463182563153,0.24771528114581992,0.20796882737163153,0.2876498039483578,0.2868055895873418,0.2223321536621969,0.1038748850515435,0.14302946420034984,0.21112819398727772,0.056485471245261404,0.010905746394162646,0.2531675019001057,0.49671829027595216,0.2035178866396341,0.19780355190990387,0.2005537380450768,0.1246287299175783,0.12703519934244487,0.213364478070183,0.19268731523176216,0.021100428685923014,0.015645392412755945,0.019407106676938433,0.007257351087266591,0.023931027083564354,0.057619183114600875,0.10995250510340623,0.17561290143211017,0.18655483291452374,0.1698306830283372,0.11043794505815831,0.00779477808658224,0.08988260444143947,0.02620824872118639,0.04458334933900216,0.060634914016921684,0.041766529583560655,0.07907421682063316,0.06428458217917944,0.09441098979029663,0.2733696233965944,0.013050105748677251,0.03565356407654934,0.025431139641438748,0.04195668064784558,0.002062033663939569,0.019955437288665195,0.03241575339294042,0.06050594337832417,0.04774832313617618,0.05132002478533263,0.048581986495000104,0.03306288042572958,0.02903248663593208,0.0,0.07377797828235122,0.47631519438409453,0.028287459426561516,0.13201715592884558,0.07716331850820472,0.1493613654228751,0.08800067160282726,0.04486573802165317,0.09170517641155891,0.06332372104124269,0.3632324010876069,0.3477766214770788,0.14135026934144854,0.4252443275493363
EL5,1.4851407415206734,0.10763220923084706,0.05676970013534983,0.22021723294657544,0.1226606794127474,0.09755462453417987,0.08355701568929971,0.06031346768693884,0.9943330264328215,0.05414519193342566,0.05792498111878432,0.09042111638426703,0.3998578007216349,0.05177606189648927,0.1270327593784979,0.07229475952546376,0.1306652913618993,0.07324871306729415,0.03801263680214481,0.04232972708677917,0.053959238395146415,0.03580593839317227,0.05715361175787741,0.13939708360176642,0.45861410429902044,0.05516556227833561,0.06623787964408122,0.05762842580883142,0.0802302898212261,0.2126091729466034,0.14015610462027625,0.07596784859437172,0.0332673108021473,0.05087350341307849,0.019822901520164034,0.039184501380620185,0.19013850822596728,0.4432951690808742,0.12069109997723947,0.07872016163261047,0.05901975958636476,0.03787102170922452,0.04903126597152658,0.06646131292634953,0.06069512704594646,0.02175292720969676,0.030799452145904287,0.03906450478306672,0.04239807490059242,0.0259382063369948,0.008624548437086377,0.028997991813192386,0.04926442880539878,0.08802596236948118,0.02465669840074945,0.010125366096973877,0.050227728496315155,0.04464710101940698,0.025598783569901692,0.04283053361258187,0.006154469662973003,0.013406538147363077,0.03611954252210957,0.02825269183037213,0.0077867044827083075,0.1635412198338569,0.02868036583263345,0.020119216004699344,0.013205064713861318,0.023885302199490525,0.07779338437910957,0.0414457815549107,0.025046045823435177,0.025890398363700877,0.03020739405021381,0.02363316561454034,0.195484828096523,0.008296979168551525,0.09287662489313335,0.07377797828235122,0.0,0.5597366559466491,0.1174872780519183,0.23267225551303755,0.002010707881834219,0.26421018240133276,0.2493075217862111,0.18768994572657707,0.02984307646366601,0.2656925927713239,0.7322956507506255,0.7294589592332478,0.3097638048408843,0.8004079617870191
TR1,1.0145208231505833,0.4678717964735627,0.42614749629189397,0.45212918011287134,0.5515198900208591,0.5957597022302441,0.5975912589937298,0.5992341839570775,1.0132362561290533,0.6200516684606094,0.5416134498441194,0.44761668508830743,0.7553770355869992,0.6398144998133555,0.6029543065455483,0.6229380758846826,0.6178865182861369,0.7366874670241679,0.6701261343034481,0.6479613441968946,0.47369503648372235,0.5084411424726668,0.7976116327123284,0.6310747621007334,0.6361116872121249,0.728151360659532,0.8427193619035459,0.5949213514684007,0.6573387802329159,0.6423513426127165,0.5813950073561417,0.5153898208929911,0.5466123584322256,0.6860512286892045,0.4465278363482981,0.48278859036785343,0.6427187080267371,0.3704212804324729,0.5106755839594975,0.6147424093589822,0.652427797092631,0.4819009850858209,0.596452850328962,0.6572255036186139,0.48719079766553813,0.4970093716034226,0.47342346703430443,0.47920452899227706,0.4813447836644688,0.5778192534107348,0.4471017116407692,0.42182853724386654,0.6959238432388667,0.34294693764553397,0.598460245949081,0.5629017199493739,0.5485186136323825,0.33555242304518557,0.6025470480547803,0.4123195220866207,0.49422010206215544,0.6011634320759242,0.7104929767657884,0.3898141170012018,0.5240632867696403,0.2874897413992994,0.5230778961136509,0.6232330814975126,0.48824996186284997,0.6262013588868076,0.5156052985862074,0.616693156103775,0.5648420243615999,0.7077743502652873,0.6842092045441119,0.4446406425205712,0.7077657286377941,0.5208226693520652,0.31078938645514986,0.47631519438409453,0.5597366559466491,0.0,0.30989791321337257,0.18464690235583223,0.6127311959831926,0.18487987214553703,0.2708366082984203,0.7000557268925189,0.4773771795254189,0.5612723972674459,1.0416504580945056,0.7274132819392056,0.977106849669789,1.2078479501680879
TR3,1.4215488887187842,0.18667104471753831,0.08828823253597308,0.2584230519979551,0.2534944009331636,0.1114238330768961,0.22736162777320604,0.2209522492735133,1.0179870690984012,0.13298384936605862,0.172046217254514,0.1565571368527148,0.38860356390685397,0.1430219737228764,0.2590739693088738,0.23095057898790308,0.2509370230900102,0.2963466355092998,0.16696028533069623,0.1552561002851658,0.10376075325893357,0.1339779829735915,0.30217757812646506,0.27020041067465145,0.5207605163073384,0.29248647141693257,0.33078606752310313,0.22970859088428938,0.30861549840559804,0.33101793441486205,0.22323034253577337,0.11781367264243622,0.16315565515729127,0.2604665533673522,0.06927373056132081,0.04092685287099762,0.26074240155482425,0.4745649038511175,0.19260070311403604,0.2201753357293392,0.2396027354749651,0.1295599493443293,0.16424870382828283,0.2528732941123371,0.18348256632754079,0.055969786637276,0.04834301673389656,0.04645692194667314,0.037768299609811484,0.08112448450575656,0.07196463694158761,0.10362033637459925,0.23365250126519288,0.1401523939293565,0.20289798499585227,0.14411652128337327,0.05659766192381431,0.07061875563018837,0.08926235626427623,0.0475056324169781,0.08593248051961423,0.10183623533882599,0.16277574289302904,0.058029243839925214,0.12290453037713596,0.20255502801136013,0.05524611017308452,0.10289735731445669,0.05961210358186277,0.10628754448462885,0.03904731438108891,0.08706765836563779,0.08397101924304057,0.14741342597154944,0.13066768876211338,0.06119528613516141,0.1218855543703886,0.07324947431893267,0.002301813926900158,0.028287459426561516,0.1174872780519183,0.30989791321337257,0.0,0.038353595097819014,0.13450239867812738,0.047836880161346504,0.02459227382901416,0.11632764178128613,0.12870071671636457,0.08331517745371395,0.4179940389806436,0.3182179720958986,0.26184340934203776,0.5083367223481148
TR4,1.4698050639969553,0.2484099184889423,0.1580587868323266,0.2978943040996784,0.3284642616851711,0.24277187422205132,0.3354304467845171,0.3199541423784588,0.943091300350771,0.26738365614075704,0.2629868786168832,0.21614911128967088,0.5044247662231508,0.28336583702028023,0.3452064523050241,0.3343879582926704,0.34686563526584957,0.43574088856413545,0.3111628846809819,0.293808457850261,0.1851735256361498,0.221699004571305,0.4564588693516536,0.3591274820155386,0.599737685092914,0.41712641009326884,0.493006027802778,0.3229964873391783,0.39491844464164666,0.4633939995514141,0.3027164481993339,0.21079505117415298,0.25542973534453783,0.3849656253069211,0.1538430942031342,0.14724129770855565,0.35190355128596706,0.5256514683698363,0.25630767630126694,0.3191606612205505,0.3548897364804115,0.2051926997787699,0.2808581494444172,0.36887197458092863,0.23984728243905043,0.16638868221825437,0.1569438712369912,0.15031393052762276,0.14432294423514877,0.21739048597667415,0.1537650249508507,0.16311724072541955,0.37145568373129295,0.15263699100288872,0.3052535821641646,0.24972080461495316,0.18464381829339593,0.11699926715962929,0.23148154259604037,0.12340530726285655,0.1825460369112246,0.24017293095303321,0.3312220118304694,0.11924792464512554,0.22261762228088627,0.18863853406249267,0.17398161631726605,0.24920778122935383,0.16582486978832078,0.25153358161462086,0.15454082529915397,0.23479436926853958,0.2149964729472612,0.3139986533326809,0.2928142186770961,0.14284049344416067,0.28444537552580146,0.18697169472680764,0.04094527830925398,0.13201715592884558,0.23267225551303755,0.18464690235583223,0.038353595097819014,0.0,0.26632513860237933,0.0011405836515589892,0.025401981731814995,0.27667496633808003,0.24139959474238604,0.18658063133776792,0.5739040933960802,0.3740800500999596,0.48275791616103725,0.6987855759272652
EL6,1.4829246618668905,0.11324291291961382,0.06275803656695958,0.22713635295730764,0.1251545199584674,0.08852893098065931,0.07979817087186421,0.060382621505030834,1.014608002462748,0.04569094898881991,0.05900298901845545,0.0972074568945758,0.3843590106026474,0.042235487179465965,0.1263267178207431,0.07041187197779863,0.12716276312896452,0.0648666264216694,0.02855737542920892,0.03362892604643628,0.05712756109017871,0.0389492166886391,0.04743413208801025,0.13741909277518882,0.4523458383046211,0.05273198691228354,0.05512866688054833,0.05990188966119766,0.08678449168049503,0.1997681856563125,0.13972543470467788,0.07514809288280401,0.036098403155347694,0.04705290076689929,0.025389813932419257,0.04058555310553323,0.18505733237401711,0.4507538213284732,0.124917189126167,0.07713468878355673,0.055657044956009274,0.04398348764826325,0.044504334937346235,0.06270995497932749,0.07168545949553938,0.022712271989453605,0.031997814071571234,0.04009173448415277,0.04413504025078168,0.021648252722406038,0.017612045717448427,0.04067252032339885,0.04129261130823499,0.10932825348638,0.02797716454836959,0.012074833822423385,0.04752787194562758,0.058575775331222685,0.020601714331944,0.04908829874167016,0.010518632608350927,0.008849943276346351,0.02318770723069029,0.039498263745733654,0.011186238034039906,0.18872669816649534,0.02840046509084996,0.014460395235273787,0.01706993292898527,0.016795122477328284,0.07765381533079442,0.035281746658933875,0.020724000550087246,0.017359068388028715,0.022858259341808317,0.0296917593566638,0.18393916252150783,0.009949555000665697,0.11028064768933023,0.07716331850820472,0.002010707881834219,0.6127311959831926,0.13450239867812738,0.26632513860237933,0.0,0.2993728323969926,0.2735257569916316,0.1765544439542102,0.02905474106732639,0.2658765451389014,0.7170849770617918,0.7366507529017389,0.2842384657163972,0.7770870874855532
